City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Maracas,20,TT,1578283108,88,10.76,-61.44,73.99,8.81
86,Verkhnyaya Toyma,0,RU,1578283112,92,62.24,45,12.09,6.44
87,New Norfolk,20,AU,1578283113,49,-42.78,147.06,78.01,18.34
88,Saint-Joseph,0,FR,1578283114,86,43.56,6.97,48.99,5.82
89,Thompson,90,CA,1578283118,84,55.74,-97.86,6.8,8.05
90,Alfonsine,0,IT,1578283119,92,44.51,12.04,44.01,4.7
91,Hobyo,51,SO,1578283120,83,5.35,48.53,77.85,11.95
92,East London,20,ZA,1578283084,94,-33.02,27.91,68,3.36
93,Ilulissat,100,GL,1578283079,71,69.22,-51.1,8.6,12.75
94,Avarua,100,CK,1578283055,88,-21.21,-159.78,80.6,5.82
95,Talnakh,75,RU,1578283125,92,69.49,88.39,19.4,26.84
96,Sharkan,97,RU,1578283126,91,57.3,53.87,28.99,3
97,Vung Tau,0,VN,1578283127,55,10.35,107.08,83.41,7.47
98,Coos Bay,90,US,1578283013,93,43.37,-124.22,48,9.17
99,Castro,48,CL,1578283138,87,-42.48,-73.76,50,4.7
100,Ashqelon,0,IL,1578283139,57,31.67,34.57,51.8,10.29
101,Kondinskoye,88,RU,1578283140,95,59.65,67.41,14.88,8.84
102,Bubaque,0,GW,1578283141,43,11.28,-15.83,77.02,17.49
103,Barrow,100,AR,1578283054,89,-38.31,-60.23,61.7,7.25
104,Buala,47,SB,1578283120,70,-8.15,159.59,85.53,8.97
105,Luderitz,0,NA,1578283145,85,-26.65,15.16,62.92,20.76
106,Komsomolskiy,100,RU,1578283146,94,67.55,63.78,9.1,16.98
107,Yellowknife,5,CA,1578283147,75,62.45,-114.38,-18,8.05
108,Liverpool,90,GB,1578282858,81,53.41,-2.98,48.2,11.41
109,Kosh-Agach,35,RU,1578283149,94,49.99,88.66,-12.71,1.01
110,Cherskiy,1,RU,1578283150,63,68.75,161.3,-9.81,4.23
111,Torrevieja,0,ES,1578283151,100,37.98,-0.68,45,4.7
112,Dunedin,70,NZ,1578283153,52,-45.87,170.5,55,45.01
113,Liyang,90,CN,1578283154,82,31.42,119.48,55.99,4.47
114,Torbay,90,CA,1578283080,100,47.66,-52.73,32,32.21
115,Te Anau,60,NZ,1578282886,77,-45.41,167.72,43.54,11.92
116,Salekhard,2,RU,1578283157,82,66.54,66.62,13.95,13.62
117,Motygino,100,RU,1578283118,95,58.18,94.69,22.98,6.04
118,Mar del Plata,64,AR,1578283056,57,-46.43,-67.52,56.43,23.22
119,Severo-Kurilsk,99,RU,1578283160,91,50.68,156.12,26.65,8.43
120,Port Macquarie,90,AU,1578283161,61,-31.43,152.91,88,12.75
121,Tignere,99,CM,1578283163,33,7.37,12.65,61.9,1.74
122,Fairbanks,90,US,1578283055,67,64.84,-147.72,-20,2.15
123,Montepuez,100,MZ,1578283123,97,-13.13,39,71.33,2.44
124,Hambantota,20,LK,1578283166,88,6.12,81.12,82.4,10.29
125,Narsaq,100,GL,1578283167,78,60.91,-46.05,17.6,4.7
126,Faya,1,SA,1578283168,87,18.39,42.45,55.4,4.7
127,Ancud,0,CL,1578283095,87,-41.87,-73.83,50,4.7
128,Santa Cruz,96,BR,1578283170,84,-6.22,-36.02,74.23,5.79
129,Amapa,75,HN,1578283172,88,15.09,-87.97,68,1.86
130,Kapaa,75,US,1578283173,78,22.08,-159.32,80.6,18.34
131,Concordia,0,AR,1578283174,69,-31.4,-58.02,73.99,5.5
132,Munirabad,40,IN,1578283175,81,15.28,76.33,71.47,12.41
133,Saint George,75,GR,1578283074,38,39.45,22.34,42.8,12.75
134,Bonavista,100,CA,1578283177,96,48.65,-53.11,30.42,40.04
135,La Puebla del Rio,0,ES,1578283178,93,37.27,-6.06,46,4.7
136,Antofagasta,46,CL,1578282968,82,-23.65,-70.4,68,1.12
137,Marawi,7,PH,1578283180,78,8,124.29,82,7
138,Nikolskoye,75,RU,1578283182,79,59.7,30.79,27,8.95
139,Bogo,100,CM,1578283183,35,10.74,14.61,62.06,10.13
140,Clyde River,1,CA,1578283184,52,70.47,-68.59,-38.2,19.46
141,Taltal,0,CL,1578283054,80,-25.41,-70.49,61.41,1.39
142,Sal Rei,97,CV,1578283207,64,16.18,-22.92,68,17.22
143,Cordoba,0,AR,1578283208,34,-27.78,-67.24,86.94,5.12
144,Tuatapere,100,NZ,1578283209,87,-46.13,167.69,48.99,23
145,Salalah,75,OM,1578283211,78,17.01,54.1,75.2,4.7
146,Great Yarmouth,3,GB,1578283212,75,52.61,1.73,46.4,11.41
147,Aykhal,90,RU,1578283213,84,65.95,111.51,-0.4,6.71
148,Isangel,20,VU,1578283214,49,-19.55,169.27,89.6,14.99
149,Hualmay,60,PE,1578283215,77,-11.1,-77.61,68.94,2.66
150,Chimbote,98,PE,1578283216,74,-9.08,-78.59,71.82,5.26
151,San Patricio,0,PY,1578283217,53,-26.98,-56.83,78.6,8.46
152,Miles City,1,US,1578283218,58,46.41,-105.84,27,9.17
153,Tilichiki,83,RU,1578283220,70,60.47,166.1,-8.73,7.83
154,Sitka,0,US,1578283221,49,37.17,-99.65,37,6.64
155,Ban Phai,0,TH,1578283222,57,16.55,102.46,80.6,6.93
156,Usmajac,5,MX,1578283223,53,19.87,-103.55,73.4,0.58
157,Vestmanna,100,FO,1578283224,93,62.16,-7.17,48.2,18.34
158,Veraval,0,FR,1578283209,93,49.65,0.71,41,3.36
159,Svetlaya,0,RU,1578283226,55,46.54,138.33,23.79,10.94
160,Padang,0,ID,1578283228,55,-0.92,100.36,82.27,2.73
161,Dickinson,1,US,1578283229,63,46.88,-102.79,26.6,10.29
162,Nelson Bay,90,AU,1578283230,69,-32.72,152.14,75.99,14.99
163,Arman,18,RU,1578283231,66,59.7,150.17,16.54,8.75
164,Gobabis,100,NA,1578283232,53,-22.45,18.97,69.62,9.78
165,Springdale,1,US,1578283233,74,36.19,-94.13,42.8,2.73
166,Ostrovnoy,94,RU,1578283234,84,68.05,39.51,12.79,15.73
167,Hokitika,21,NZ,1578283235,65,-42.72,170.96,56.16,37.47
168,Nishihara,20,JP,1578283236,40,35.74,139.53,53.01,10.29
169,Gigmoto,79,PH,1578283050,78,13.78,124.39,81,23.4
170,Krutinka,94,RU,1578283239,95,56.01,71.51,9.32,10.56
171,Varhaug,90,NO,1578283240,93,58.61,5.65,46.4,8.05
172,Chara,75,GR,1578283241,38,39.42,22.43,42.8,12.75
173,Nova Olimpia,100,BR,1578283242,94,-14.8,-57.29,73.83,4.99
174,Sungaipenuh,4,ID,1578283049,62,-2.08,101.38,75.38,3.33
175,Omboue,99,GA,1578283244,91,-1.57,9.26,75.49,0.27
176,Kerouane,51,GN,1578283245,37,12.23,-12.34,66.2,2.24
177,Lebu,20,ET,1578283246,76,8.96,38.73,53.6,8.05
178,Chuy,0,UY,1578283247,85,-33.69,-53.46,69.55,11.83
179,Wanning,20,AT,1578283056,92,48.64,13.53,28.99,2.24
180,Mana,69,NG,1578283250,24,13.03,5.27,61.57,11.5
181,Anloga,100,GH,1578283251,77,5.79,0.9,69.8,2.24
182,Abu Kamal,47,SY,1578283252,76,34.45,40.92,47.41,0.94
183,La Ronge,90,CA,1578283118,77,55.1,-105.3,1.4,2.24
184,Patacamaya,87,BO,1578283275,60,-17.23,-67.92,47.12,5.5
185,Ribeira Grande,100,PT,1578283276,93,38.52,-28.7,60.04,16.71
186,Souillac,0,FR,1578283265,89,45.6,-0.6,36,4.7
187,Maniitsoq,100,GL,1578283278,98,65.42,-52.9,4.98,26.04
188,Buraydah,0,SA,1578283280,86,26.33,43.97,39.2,4.14
189,Pisco,65,PE,1578283281,83,-13.71,-76.2,69.8,14.99
190,Baykit,98,RU,1578283053,97,61.68,96.39,8.55,4.38
191,Angoram,98,PG,1578283283,61,-4.06,144.07,89.83,1.32
192,Tuktoyaktuk,20,CA,1578283287,67,69.44,-133.03,-23.8,4.7
193,Grindavik,90,IS,1578283288,97,63.84,-22.43,37.4,26.4
194,Bluff,74,AU,1578283289,38,-23.58,149.07,90.79,13.69
195,Mahebourg,75,MU,1578283290,94,-20.41,57.7,75.99,12.75
196,Egvekinot,0,RU,1578283125,87,66.32,-179.17,-13.04,9.62
197,Opunake,73,NZ,1578283293,68,-39.45,173.86,64,18.01
198,Paita,0,PE,1578283130,71,-5.09,-81.11,75.27,5.41
199,Petropavlovsk-Kamchatskiy,75,RU,1578283295,79,53.05,158.65,32,20.13
200,Shimoda,75,JP,1578283093,50,34.7,138.93,53.6,3.36
201,Kyaikkami,0,MM,1578283321,66,16.08,97.57,78.87,4.38
202,Grand Gaube,75,MU,1578283322,94,-20.01,57.66,75.99,12.75
203,Auki,58,NG,1578283120,28,12.18,6.51,62.94,13.85
204,Ankang,100,CN,1578283324,97,32.73,108.99,35.55,1.81
205,Beira,0,ES,1578283061,100,43.2,-8.36,39.99,8.05
206,Tongling,100,CN,1578283327,93,30.93,117.81,52.65,3.36
207,Itarema,43,BR,1578283328,94,-2.92,-39.92,77,4.32
208,Cacahoatan,40,MX,1578283329,88,14.98,-92.17,73.4,6.46
209,Port Lincoln,2,AU,1578283218,54,-34.72,135.86,68.05,10.22
210,Surt,90,LY,1578283340,75,31.21,16.59,56.14,16.42
211,Carnarvon,69,ZA,1578283341,82,-30.97,22.13,58.98,7.38
212,Ekhabi,96,RU,1578283342,87,53.51,142.97,25,14.72
213,Adrar,0,DZ,1578283114,48,27.87,-0.29,39.2,10.29
214,Anadyr,0,RU,1578283344,66,64.73,177.51,-29.2,6.71
215,Sioux Lookout,90,CA,1578283346,72,50.1,-91.92,17.6,17.22
216,Mazatlan,5,MX,1578283341,87,23.22,-106.42,69.01,3.36
217,Myaundzha,49,RU,1578283348,99,63.05,147.18,-17.46,1.52
218,Kankon,82,IN,1578283349,73,15.02,74.02,77,8.05
219,Lata,100,IN,1578283096,75,30.78,78.62,19.78,1.99
220,Kavaratti,20,IN,1578283351,65,10.57,72.64,82.4,7.2
221,Kuldur,61,RU,1578283356,85,49.22,131.63,8.29,2.51
222,Coffs Harbour,45,AU,1578283357,69,-30.3,153.13,89.6,10.29
223,Port Pirie,2,AU,1578283358,64,-33.18,138.01,71.85,9.13
224,Kavieng,29,PG,1578283280,69,-2.57,150.8,85.75,8.14
225,Moose Factory,90,CA,1578283360,84,51.26,-80.61,-0.4,6.93
226,Akdepe,90,TM,1578283364,73,42.05,59.39,26.6,4.7
227,Sohbatpur,99,PK,1578283365,77,28.52,68.54,53.37,2.21
228,Poso,100,ID,1578283366,96,-1.4,120.75,65.89,0.87
229,San Antonio,0,CL,1578283129,87,-33.58,-71.61,51.8,3.36
230,Svetlogorsk,90,RU,1578283369,92,53.14,59.15,26.6,8.95
231,Hadejia,95,NG,1578283370,30,12.45,10.04,61.41,9.17
